id,port_name,Continent_Code,country,iso3,lat,lon,handling,vessel_type_main
port1118,Safi,AF,Morocco,MAR,32.30816699828758,-9.246595804225363,0.301257788948866,Dry bulk
port1265,Tangier-Mediterranean,AF,Morocco,MAR,35.87985242254127,-5.511023901318204,0.301257788948866,Dry bulk
port50,Andoany,AF,Madagascar,MDG,-13.4026181204241,48.21470201927411,0.31758959522589325,Dry bulk
port55,Antisranana,AF,Madagascar,MDG,-12.26905590898271,49.28869018643424,0.31758959522589325,Dry bulk
port340,Faradofay,AF,Madagascar,MDG,-25.06680990930554,46.96379773414274,0.31758959522589325,Dry bulk
port1307,Toliara,AF,Madagascar,MDG,-23.37321860988094,43.66993419384954,0.31758959522589325,Dry bulk
port680,Mahajanga,AF,Madagascar,MDG,-15.72612557115805,46.31131115099042,0.31758959522589325,Dry bulk
port1301,Toamasina,AF,Madagascar,MDG,-18.1578969719428,49.42634110229315,0.31758959522589325,Dry bulk
port137,Beira,AF,Mozambique,MOZ,-19.81107039891208,34.83983894902818,0.3382608108343236,Dry bulk
port702,Maputo,AF,Mozambique,MOZ,-25.95563087461806,32.52103798385122,0.338799285750217,Dry bulk
port784,Nacala,AF,Mozambique,MOZ,-14.53535058549936,40.65118404225086,0.3385300482922703,Dry bulk
port896,Pemba,AF,Mozambique,MOZ,-12.96679020780965,40.48677494848093,0.3385300482922703,Dry bulk
port1076,Quelimane,AF,Mozambique,MOZ,-18.21074207408451,36.81101385393132,0.3385300482922703,Dry bulk
port830,Nouadhibou,AF,Mauritania,MRT,20.84893872239274,-17.04643501106865,0.30766004538899777,Dry bulk
port831,Nouakchott,AF,Mauritania,MRT,17.99243027391079,-16.02559989974598,0.30766004538899777,Dry bulk
port965,Port Louis,AF,Mauritius,MUS,-20.1494178915164,57.49585986825772,0.31363088634626257,Dry bulk
port968,Port Mathurin,AF,Mauritius,MUS,-19.68093700109723,63.42005419719781,0.31363088634626257,Dry bulk
port313,Dzaoudzi,AF,Mayotte,MYT,-12.76692626923014,45.280104383983,0.30766004538899777,Dry bulk
port982,Port de Longoni,AF,Mayotte,MYT,-12.72484002048828,45.16784535685651,0.30766004538899777,Dry bulk
port668,Luderitz Bay,AF,Namibia,NAM,-26.64124097223244,15.15325257709971,0.33160973079148465,Dry bulk
port1381,Walvis Bay,AF,Namibia,NAM,-22.95358267934519,14.48950620646175,0.33160973079148465,Dry bulk
port155,Bonny,AF,Nigeria,NGA,4.420690387691537,7.157020931593515,0.30962700463102566,Dry bulk
port205,Calabar,AF,Nigeria,NGA,5.007882924271452,8.325139169155197,0.3289204257864617,Dry bulk
port587,Koko,AF,Nigeria,NGA,5.999492393216364,5.460395648386076,0.30962700463102566,Dry bulk
port626,Lagos,AF,Nigeria,NGA,6.44733700045157,3.334134321082994,0.2976873666442793,Dry bulk
port851,Onne,AF,Nigeria,NGA,4.688025553488681,7.158459416672777,0.30962700463102566,Dry bulk
port954,Port Harcourt,AF,Nigeria,NGA,4.765986904558207,7.00606550282873,0.3337063103524215,Dry bulk
port1165,Sapele,AF,Nigeria,NGA,5.921430708974314,5.647356031176507,0.27819391574094027,Dry bulk
port1383,Warri,AF,Nigeria,NGA,5.516631503727129,5.72127173752795,0.30962700463102566,Dry bulk
port950,Port Est,AF,Reunion,REU,-20.9308840689207,55.30742425002292,0.3329111802436962,Dry bulk
port977,Port Sudan,AF,Sudan,SDN,19.603932998841,37.23334444722195,0.316510253497957,Dry bulk
port1172,Sawakin Harbor,AF,Sudan,SDN,19.11596039619306,37.3494817785628,0.316510253497957,Dry bulk
port272,Dakar,AF,Senegal,SEN,14.68346039725946,-17.42610193274277,0.3153715804363687,Dry bulk
port360,Freetown,AF,Sierra Leone,SLE,8.486640908133134,-13.20186718972282,0.31758959522589325,Dry bulk
port825,Nitti,AF,Sierra Leone,SLE,7.765827427713246,-12.39578323698932,0.31758959522589325,Dry bulk
port146,Berbera,AF,Somalia,SOM,10.43294270063093,44.99697910139347,0.3281103073031003,Dry bulk
port157,Boosaaso,AF,Somalia,SOM,11.29061229629329,49.18112782930411,0.3281103073031003,Dry bulk
port778,Muqdisho,AF,Somalia,SOM,2.024425203376507,45.33463075223293,0.3281103073031003,Dry bulk
port1157,Santo Antonio,AF,Sao Tome and Principe,STP,1.644572733705917,7.422128006819842,0.30766004538899777,Dry bulk
port1163,Sao Tome,AF,Sao Tome and Principe,STP,0.3521601249949347,6.652341023698349,0.30766004538899777,Dry bulk
port1361,Victoria,AF,Seychelles,SYC,-4.622741734361303,55.4622751304411,0.30766004538899777,Dry bulk
port657,Lome,AF,Toga,TGO,6.144824676404431,1.282708954234837,0.3274968136308048,Dry bulk
port115,Banzart,AF,Tunisia,TUN,37.2599330125266,9.873087665943743,0.30766004538899777,Dry bulk
port371,Gabes,AF,Tunisia,TUN,33.91881608676359,10.08893966692584,0.30766004538899777,Dry bulk
port733,Mersa Sfax,AF,Tunisia,TUN,34.72756547620153,10.77188257509735,0.30766004538899777,Dry bulk
port1206,Skhira,AF,Tunisia,TUN,34.33734226353292,10.14458149659702,0.30766004538899777,Dry bulk
port1213,Sousse,AF,Tunisia,TUN,35.82451281330599,10.64508158450096,0.30766004538899777,Dry bulk
port1329,Tunis,AF,Tunisia,TUN,36.80638815328289,10.28334439407761,0.30766004538899777,Dry bulk
port1423,Zarzis,AF,Tunisia,TUN,33.48197839110959,11.11418322383286,0.30766004538899777,Dry bulk
